training_size, sample_size, accuracy
270000,1000.0,0.817
270000,1000.0,0.829
270000,1000.0,0.81
270000,1000.0,0.804
270000,1000.0,0.844
280000,1000.0,0.815
280000,1000.0,0.82
280000,1000.0,0.816
280000,1000.0,0.829
280000,1000.0,0.81
280000,1000.0,0.832
280000,1000.0,0.81
280000,1000.0,0.833
280000,1000.0,0.846
280000,1000.0,0.835
290000,1000.0,0.821
290000,1000.0,0.79
290000,1000.0,0.803
290000,1000.0,0.805
290000,1000.0,0.818
290000,1000.0,0.81
290000,1000.0,0.795
290000,1000.0,0.824
290000,1000.0,0.798
290000,1000.0,0.79
300000,1000.0,0.79
300000,1000.0,0.781
300000,1000.0,0.794
300000,1000.0,0.805
300000,1000.0,0.808
300000,1000.0,0.761
300000,1000.0,0.803
300000,1000.0,0.792
300000,1000.0,0.809
300000,1000.0,0.806
310000,1000.0,0.809
310000,1000.0,0.838
310000,1000.0,0.822
310000,1000.0,0.817
310000,1000.0,0.812
310000,1000.0,0.823
310000,1000.0,0.844
310000,1000.0,0.835
310000,1000.0,0.797
310000,1000.0,0.827
320000,1000.0,0.838
320000,1000.0,0.84
320000,1000.0,0.826
320000,1000.0,0.814
320000,1000.0,0.842
320000,1000.0,0.825
320000,1000.0,0.826
320000,1000.0,0.81
320000,1000.0,0.824
320000,1000.0,0.82
330000,1000.0,0.825
330000,1000.0,0.822
330000,1000.0,0.845
330000,1000.0,0.811
330000,1000.0,0.821
330000,1000.0,0.833
330000,1000.0,0.843
330000,1000.0,0.829
330000,1000.0,0.829
330000,1000.0,0.816
340000,1000.0,0.848
340000,1000.0,0.82
340000,1000.0,0.83
340000,1000.0,0.839
340000,1000.0,0.83
340000,1000.0,0.825
340000,1000.0,0.831
340000,1000.0,0.818
340000,1000.0,0.821
340000,1000.0,0.853
350000,1000.0,0.816
350000,1000.0,0.844
350000,1000.0,0.815
350000,1000.0,0.817
350000,1000.0,0.813
350000,1000.0,0.8
350000,1000.0,0.831
350000,1000.0,0.831
350000,1000.0,0.837
350000,1000.0,0.812
360000,1000.0,0.828
360000,1000.0,0.817
360000,1000.0,0.831
360000,1000.0,0.825
360000,1000.0,0.818
360000,1000.0,0.827
360000,1000.0,0.843
360000,1000.0,0.831
360000,1000.0,0.792
360000,1000.0,0.824
370000,1000.0,0.821
370000,1000.0,0.813
370000,1000.0,0.819
370000,1000.0,0.839
370000,1000.0,0.828
370000,1000.0,0.825
370000,1000.0,0.824
370000,1000.0,0.816
370000,1000.0,0.822
370000,1000.0,0.824
380000,1000.0,0.842
380000,1000.0,0.828
380000,1000.0,0.829
380000,1000.0,0.829
380000,1000.0,0.84
380000,1000.0,0.834
380000,1000.0,0.814
380000,1000.0,0.845
380000,1000.0,0.813
380000,1000.0,0.812
390000,1000.0,0.816
390000,1000.0,0.838
390000,1000.0,0.834
390000,1000.0,0.818
390000,1000.0,0.837
390000,1000.0,0.811
390000,1000.0,0.83
390000,1000.0,0.813
390000,1000.0,0.831
390000,1000.0,0.84
400000,1000.0,0.817
400000,1000.0,0.843
400000,1000.0,0.821
400000,1000.0,0.825
400000,1000.0,0.834
400000,1000.0,0.84
400000,1000.0,0.832
400000,1000.0,0.835
400000,1000.0,0.821
400000,1000.0,0.825
410000,1000.0,0.813
410000,1000.0,0.831
410000,1000.0,0.827
410000,1000.0,0.842
410000,1000.0,0.824
410000,1000.0,0.834
410000,1000.0,0.844
410000,1000.0,0.843
410000,1000.0,0.836
410000,1000.0,0.825
420000,1000.0,0.818
420000,1000.0,0.832
420000,1000.0,0.821
420000,1000.0,0.8
420000,1000.0,0.822
420000,1000.0,0.822
420000,1000.0,0.839
420000,1000.0,0.833
420000,1000.0,0.83
420000,1000.0,0.823
430000,1000.0,0.818
430000,1000.0,0.828
430000,1000.0,0.83
430000,1000.0,0.828
430000,1000.0,0.82
430000,1000.0,0.843
430000,1000.0,0.836
430000,1000.0,0.817
430000,1000.0,0.828
430000,1000.0,0.822
440000,1000.0,0.811
440000,1000.0,0.816
440000,1000.0,0.843
440000,1000.0,0.829
440000,1000.0,0.846
440000,1000.0,0.82
440000,1000.0,0.817
440000,1000.0,0.829
440000,1000.0,0.849
440000,1000.0,0.84
450000,1000.0,0.81
450000,1000.0,0.781
450000,1000.0,0.793
450000,1000.0,0.812
450000,1000.0,0.785
